
;;;;∫√‘…—∑ √Ë«¡¡‘µ√§Õπ°√’µ ®”°—¥

;;;;;;;;;;Page :1
;;;RUAMMITR CONCRETE CO.,LTD

;Print Date/Time;16/7/2569 16:06:39
;;;;;;;;;test by : Adichai
;;;;;;;;;;;;2
;Test No.;Date;Time;Customer;;Date of Unit;No./Slump.;;Weight( Kg.);;;Kgm/Cm

;1211206;15/6/2569;09:22;Plank;;7;;;;8.158;;378.138
;;;;;;;No.1 S.5 cm (Z)
;1211207;15/6/2569;09:24;Plank;;7;No.2 S.5 cm (Z);;;8.211;;365.958

;1211208;15/6/2569;09:27;Plank;;7;No.3 S.5 cm (Z);;;8.147;;384.250

;1211209;15/6/2569;09:29;Pile i 22x22;;7;No.1 S.5 cm (C);;;8.339;;430.406
;1211210;15/6/2569;09:31;Pile i 22x22;;7;;;;8.355;;406.856
;;;;;;;No.2 S.5 cm (C)
;1211211;15/6/2569;09:33;Pile i 22x22;;7;No.3 S.5 cm (C);;;8.297;;450.315

;1211212;15/6/2569;09:35;Pile i 18x18;;7;No.1 S.19 cm (C);;;8.272;;464.022
;1211213;15/6/2569;09:37;Pile i 18x18;;7;;;;8.314;;462.899
;;;;;;;No.2 S.19 cm (C)
;1211214;15/6/2569;09:38;Pile i 18x18;;7;No.3 S.19 cm (C);;;8.289;;418.271

;1211215;15/6/2569;09:41;Pile i 26x26;;7;No.1 S.6 cm (C);;;8.289;;502.762

;1211216;15/6/2569;09:42;Pile i 26x26;;7;No.2 S.6 cm (C);;;8.381;;513.189
;1211217;15/6/2569;09:44;Pile i 26x26;;7;;;;8.345;;488.471
;;;;;;;No.3 S.6 cm (C)
;1211218;15/6/2569;09:47;Pile i 22x22;;5;No.1 S.16 cm (B);;;8.361;;452.202

;1211219;15/6/2569;09:49;Pile i 22x22;;5;No.2 S.16 cm (B);;;8.339;;518.223
;1211220;15/6/2569;09:50;Pile i 22x22;;5;;;;8.490;;533.593
;;;;;;;No.3 S.16 cm (B)
;1211221;15/6/2569;09:53;Pile i 18x18;;5;No.1 S.6 cm (B);;;8.134;;403.126

;1211222;15/6/2569;09:54;Pile i 18x18;;5;No.2 S.6 cm (B);;;8.222;;434.810

;1211223;15/6/2569;09:56;Pile i 18x18;;5;No.3 S.6 cm (B);;;8.269;;418.496
;1211224;15/6/2569;09:59;Plank;;18h;;;;8.215;;289.691
;;;;;;;No.1 S.9 cm (Z)
;1211225;15/6/2569;10:00;Plank;;18h;No.2 S.9 cm (Z);;;8.297;;292.568

;1211226;15/6/2569;10:02;Plank;;18h;No.3 S.9 cm (Z);;;8.298;;295.444
;1211227;15/6/2569;10:04;Pile i 22x22;;18h;;;;8.424;;342.409
;;;;;;;No.1 S.7 cm (B)
;1211228;15/6/2569;10:06;Pile i 22x22;;18h;No.2 S.7 cm (B);;;8.479;;336.746

;1211229;15/6/2569;10:07;Pile i 22x22;;18h;No.3 S.7 cm (B);;;8.472;;331.443

;1211230;15/6/2569;10:09;Pile i 18x18;;18h;No.1 S.12 cm (B);;;8.124;;241.918
;1211231;15/6/2569;10:10;Pile i 18x18;;18h;;;;8.044;;237.918
;;;;;;;No.2 S.12 cm (B)
;1211232;15/6/2569;10:12;Pile i 18x18;;18h;No.3 S.12 cm (B);;;8.229;;236.480

;1211233;16/6/2569;09:17;Plank;;7;No.1 S.4 cm (Z);;;8.154;;418.002
;1211234;16/6/2569;09:19;Plank;;7;;;;8.073;;446.000
;;;;;;;No.2 S.4 cm (Z)
;1211235;16/6/2569;09:21;Plank;;7;No.3 S.4 cm (Z);;;8.131;;463.168

;1211236;16/6/2569;09:23;Pile i 22x22;;7;No.1 S.9 cm (B);;;8.489;;501.010

;1211237;16/6/2569;09:25;Pile i 22x22;;7;No.2 S.9 cm (B);;;8.400;;452.787
;1211238;16/6/2569;09:27;Pile i 22x22;;7;;;;8.432;;524.425
;;;;;;;No.3 S.9 cm (B)
;1211239;16/6/2569;09:29;Pile i 18x18;;7;No.1 S.9 cm (B);;;8.304;;376.655

;1211240;16/6/2569;09:31;Pile i 18x18;;7;No.2 S.9 cm (B);;;8.126;;394.856
;1211241;16/6/2569;09:33;Pile i 18x18;;7;;;;8.189;;421.237
;;;;;;;No.3 S.9 cm (B)
;1211245;16/6/2569;09:40;Pile i 22x22;;5;No.1 S.18 cm (B);;;8.288;;458.450



;;;;;;;;;;Page :2


;Print Date/Time;16/7/2569 16:06:39
;;;;;;;;;test by : Adichai
;;;;;;;;;;;;2
;Test No.;Date;Time;Customer;;Date of Unit;No./Slump.;;Weight( Kg.);;;Kgm/Cm

;1211246;16/6/2569;09:41;Pile i 22x22;;5;;;;8.283;;475.707
;;;;;;;No.2 S.18 cm (B)
;1211247;16/6/2569;09:43;Pile i 22x22;;5;No.3 S.18 cm (B);;;8.284;;407.620

;1211248;16/6/2569;09:45;Pile i 18x18;;5;No.1 S.19 cm (B);;;8.165;;376.115

;1211249;16/6/2569;09:46;Pile i 18x18;;5;No.2 S.19 cm (B);;;8.284;;377.014
;1211250;16/6/2569;09:48;Pile i 18x18;;5;;;;8.190;;404.204
;;;;;;;No.3 S.19 cm (B)
;1211251;16/6/2569;09:50;Plank;;18h;No.1 S.3 cm (Z);;;8.154;;274.905

;1211252;16/6/2569;09:51;Plank;;18h;No.2 S.3 cm (Z);;;8.184;;292.343
;1211253;16/6/2569;09:53;Plank;;18h;;;;8.249;;286.051
;;;;;;;No.3 S.3 cm (Z)
;1211254;16/6/2569;09:54;Pile i 22x22;;18h;No.1 S.17 cm (B);;;8.235;;341.600

;1211255;16/6/2569;09:56;Pile i 22x22;;18h;No.2 S.17 cm (B);;;8.306;;354.678

;1211256;16/6/2569;09:57;Pile i 22x22;;18h;No.3 S.17 cm (B);;;8.423;;353.734
;1211257;16/6/2569;09:59;Pile i 18x18;;18h;;;;8.136;;308.612
;;;;;;;No.1 S.10 cm (B)
;1211258;16/6/2569;10:00;Pile i 18x18;;18h;No.2 S.10 cm (B);;;8.176;;316.612

;1211259;16/6/2569;10:02;Pile i 18x18;;18h;No.3 S.10 cm (B);;;8.173;;309.691
;1211260;17/6/2569;10:35;Plank;;7;;;;8.278;;405.193
;;;;;;;No.1 S.4 cm (z)
;1211261;17/6/2569;10:37;Plank;;7;No.2 S.4 cm (z);;;8.204;;431.439

;1211262;17/6/2569;10:39;Plank;;7;No.3 S.4 cm (z);;;8.303;;433.057

;1211263;17/6/2569;10:41;Pile i 22x22;;7;No.1 S.16 cm (b);;;8.418;;532.020
;1211264;17/6/2569;10:43;Pile i 22x22;;7;;;;8.312;;561.861
;;;;;;;No.2 S.16 cm (b)
;1211265;17/6/2569;10:45;Pile i 22x22;;7;No.3 S.16 cm (b);;;8.382;;613.770

;1211266;17/6/2569;10:47;Pile i 18x18;;7;No.1 S.6 cm (b);;;8.269;;462.449
;1211267;17/6/2569;10:49;Pile i 18x18;;7;;;;8.228;;472.247
;;;;;;;No.2 S.6 cm (b)
;1211268;17/6/2569;10:50;Pile i 18x18;;7;No.3 S.6 cm (b);;;8.368;;379.486

;1211269;17/6/2569;10:52;Pile i 22x22;;5;No.1 S.10 cm (b);;;8.327;;488.696

;1211270;17/6/2569;10:54;Pile i 22x22;;5;No.2 S.10 cm (b);;;8.323;;440.563
;1211271;17/6/2569;10:55;Pile i 22x22;;5;;;;8.283;;524.155
;;;;;;;No.3 S.10 cm (b)
;1211272;17/6/2569;10:57;Pile i 18x18;;5;No.1 S.11 cm (b);;;8.299;;402.541

;1211273;17/6/2569;10:58;Pile i 18x18;;5;No.2 S.11 cm (b);;;8.261;;440.068
;1211274;17/6/2569;11:00;Pile i 18x18;;5;;;;8.247;;445.955
;;;;;;;No.3 S.11 cm (b)
;1211275;17/6/2569;11:02;Plank;;18h;No.1 S.4 cm (z);;;8.290;;284.119

;1211276;17/6/2569;11:04;Plank;;18h;No.2 S.4 cm (z);;;8.189;;272.838

;1211277;17/6/2569;11:05;Plank;;18h;No.3 S.4 cm (z);;;8.291;;288.478
;1211278;17/6/2569;11:07;Pile i 22x22;;18h;;;;8.398;;321.106
;;;;;;;No.1 S.16 cm (b)
;1211279;17/6/2569;11:08;Pile i 22x22;;18h;No.2 S.16 cm (b);;;8.275;;289.197

;1211280;17/6/2569;11:10;Pile i 22x22;;18h;No.3 S.16 cm (b);;;8.211;;300.253
;1211281;17/6/2569;11:11;Pile i 18x18;;18h;;;;7.977;;232.570
;;;;;;;No.1 S.18 cm (b)
;1211282;17/6/2569;11:12;Pile i 18x18;;18h;No.2 S.18 cm (b);;;7.975;;230.008



;;;;;;;;;;Page :3


;Print Date/Time;16/7/2569 16:06:39
;;;;;;;;;test by : Adichai
;;;;;;;;;;;;2
;Test No.;Date;Time;Customer;;Date of Unit;No./Slump.;;Weight( Kg.);;;Kgm/Cm

